City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
165,Huarmey,100,PE,1680383725,78,-10.0681,-78.1522,78.53,7.65
166,Médéa,2,DZ,1680383657,89,36.2642,2.7539,50.63,3.67
167,Codrington,41,AU,1680383192,84,-38.2667,141.9667,48.83,3.44
168,Pacific Grove,0,US,1680383726,61,36.6177,-121.9166,65.39,10.36
169,Yining,0,CN,1680383726,86,29.0361,114.5636,58.3,2.91
170,Puerto Madero,75,MX,1680383726,66,14.7208,-92.4215,89.8,14.97
171,Hilo,75,US,1680383726,75,19.7297,-155.09,85.28,10.36
172,Balabac,100,PH,1680383727,80,7.9868,117.0645,79.38,4.12
173,Narsaq,75,GL,1680383727,80,60.9167,-46.05,32.22,4.29
174,Chumikan,99,RU,1680383727,95,54.7183,135.315,25.25,3.09
175,Rundu,98,NA,1680383728,63,-17.9333,19.7667,69.57,5.21
176,Price,0,US,1680383493,35,39.5994,-110.8107,52.86,12.53
177,Russell,94,US,1680383728,34,32.3502,-85.1999,84.0,12.48
178,Río Gallegos,0,AR,1680383552,38,-51.6226,-69.2181,57.25,28.77
179,Bethel,0,US,1680383187,51,41.3712,-73.414,72.45,13.8
180,Yangi Marg`ilon,99,UZ,1680383728,55,40.4272,71.7189,59.72,9.22
181,Aleksandrov Gay,100,RU,1680383729,65,50.147,48.5704,45.46,13.13
182,Ostrovnoy,87,RU,1680383199,84,68.0531,39.5131,22.23,7.94
183,Khorramshahr,0,IR,1680383729,31,30.4397,48.1664,55.35,10.18
184,Castro,49,BR,1680383558,77,-24.7911,-50.0119,70.02,2.01
185,Mimongo,100,GA,1680383729,99,-1.6195,11.6068,69.53,3.2
186,Monte Patria,36,CL,1680383729,33,-30.6919,-70.9467,81.81,6.64
187,Samarai,100,PG,1680383730,76,-10.6167,150.6667,81.99,7.72
188,Nanning,95,CN,1680383730,96,22.8167,108.3167,73.2,9.4
189,Puerto Madryn,88,AR,1680383730,27,-42.7692,-65.0385,77.25,19.22
190,Lamu,12,KE,1680383730,81,-2.2717,40.902,82.62,13.0
191,Malim,100,PH,1680383731,89,7.452,123.4312,76.55,5.28
192,Esperance,100,AU,1680383731,84,-33.8667,121.9,64.2,12.86
193,Nanortalik,15,GL,1680383731,82,60.1432,-45.2371,27.52,3.91
194,Peabiru,4,BR,1680383732,81,-23.9128,-52.3431,75.34,4.63
195,Rocha,8,UY,1680383732,58,-34.4833,-54.3333,64.69,7.34
196,Comodoro Rivadavia,0,AR,1680383492,23,-45.8667,-67.5,71.46,24.16
197,Hay River,100,CA,1680383716,73,60.8156,-115.7999,17.56,9.22
198,Mandalgovi,100,MN,1680383732,82,45.7625,106.2708,12.42,24.25
199,Lorengau,99,PG,1680383733,79,-2.0226,147.2712,80.47,3.69
200,Vila Franca do Campo,100,PT,1680383733,90,37.7167,-25.4333,64.81,16.06
201,Aykhal,100,RU,1680383733,91,66.0,111.5,5.04,22.21
202,Kenai,0,US,1680383734,44,60.5544,-151.2583,37.49,14.97
203,Taltal,34,CL,1680383734,78,-25.4,-70.4833,71.98,4.65
204,Ponta Delgada,20,PT,1680383734,82,37.7333,-25.6667,65.12,16.11
205,Tanout,65,NE,1680383734,10,14.9709,8.8879,75.87,11.07
206,Hamilton,100,US,1680383604,68,39.1834,-84.5333,44.65,26.46
207,Hong Kong,100,HK,1680383475,93,22.2855,114.1577,72.95,1.01
208,Voh,12,NC,1680383735,80,-20.9667,164.7,78.76,0.76
209,Jerome,100,US,1680383735,60,42.7241,-114.5186,50.68,16.11
210,Sitka,75,US,1680383735,70,57.0531,-135.33,42.69,5.75
211,Thinadhoo,96,MV,1680383736,76,0.5333,72.9333,81.48,4.81
212,Paita,90,PE,1680383736,68,-5.0892,-81.1144,83.01,12.19
213,Douglas,0,US,1680383576,27,41.3,-96.167,54.86,6.91
214,Fort Saint James,15,CA,1680383736,67,54.4333,-124.25,38.53,8.68
215,Ahipara,100,NZ,1680383202,89,-35.1667,173.1667,65.93,0.78
216,Lompoc,0,US,1680383737,62,34.6391,-120.4579,72.7,20.0
217,Katobu,99,ID,1680383737,95,-4.9408,122.5276,74.32,1.68
218,Eustis,20,US,1680383737,50,28.8528,-81.6853,89.92,12.66
219,Fortuna,100,US,1680383737,91,40.5982,-124.1573,50.94,3.0
220,Champerico,99,GT,1680383738,61,14.3,-91.9167,85.73,12.68
221,Ryōtsu-minato,0,JP,1680383738,71,38.0833,138.4333,46.35,14.2
222,Kloulklubed,85,PW,1680383740,73,7.0419,134.2556,73.9,3.87
223,Ribeira Grande,100,PT,1680383740,93,38.5167,-28.7,63.77,21.0
224,Hauterive,100,FR,1680383741,95,46.0901,3.4459,48.96,8.1
225,Road Town,40,VG,1680383741,65,18.4167,-64.6167,82.49,12.66
226,Touros,100,BR,1680383741,78,-5.1989,-35.4608,79.93,11.99
227,Los Llanos de Aridane,0,ES,1680383193,83,28.6585,-17.9182,64.15,13.8
228,Santa Cruz de La Palma,0,ES,1680383742,83,28.6835,-17.7642,68.14,14.97
229,Poopó,89,BO,1680383471,37,-18.3667,-66.9667,56.64,5.08
230,Winslow,0,US,1680383742,15,35.0242,-110.6974,64.58,5.75
231,Gillette,0,US,1680383742,43,44.2911,-105.5022,50.92,18.41
232,Katsuura,100,JP,1680383489,72,35.1333,140.3,58.57,14.65
